"","ID","Short Title","Year"
"1","A00005","Here begynneth a shorte and abreue","1515"
"2","A00007","The Cronycles of Englonde","1528"
"3","A00113","The right plesaunt and goodly histo","1554"
"4","A00400","A discourse of the nauigation which","1579"
"5","A00549","An East-India colation; or a discou","1633"
"6","A00574","The famous history of George Lord F","1616"
"7","A00611","The voyage and trauaile","1588"
"8","A00682","A relation containing the manner of","1620"
"9","A00683","A relation of a new league made by","1626"
"10","A00688","Terra australis incognita, or A new","1617"
"11","A00709","An exact and curious suruey of all","1615"
"12","A00985","Good newes from Florence","1614"
"13","A01069","A sermon preached at Constantinople","1616"
"14","A01108","North-vvest Fox, or, Fox from the N","1635"
"15","A01165","The mutable and vvauering estate of","1597"
"16","A01177","A true discourse of an ouerthrow gi","1591"
"17","A01238","The declaration and information of","1620"
"18","A01250","A iournall of the voyage of the you","1623"
"19","A01395","The glory of England, or A true des","1618"
"20","A01426","The discoueries of the world from t","1601"
"21","A01564","[The Jest of Sir Gawaine]","1528"
"22","A01656","The wars in Germany","1614"
"23","A01828","The legacye or embassate of the gre","1533"
"24","A01864","The historie of the great and might","1588"
"25","A01867","The tryall of trauell, or, [brace]","1630"
"26","A02325","A publication of Guiana's plantatio","1632"
"27","A02335","The description of the Low countrey","1593"
"28","A02472","A true declaration of the arriuall","1613"
"29","A02494","Diuers voyages touching the discoue","1582"
"30","A02578","Quo vadis?","1617"
"31","A02605","A paradox.","1640"
"32","A02626","A relation of a voyage to Guiana.","1613"
"33","A02656","A caueat for commen cursetors vvlga","1567"
"34","A02794","Strange and wonderfull things. Happ","1595"
"35","A02826","The observations of Sir Richard Hav","1622"
"36","A02964","Instructions giuen by the princes o","1570"
"37","A03006","A true relation of the French kinge","1592"
"38","A03065","A relation of some yeares trauaile","1634"
"39","A03066","Some yeares travels into divers par","1638"
"40","A03319","Prolicionycion [sic].","1482"
"41","A03330","Nevv-Englands plantation. Or, A sho","1630"
"42","A03451","Nevves out of Holland","1622"
"43","A03635","A dolorous discourse, of a most ter","1579"
"44","A03702","The trauailes of an English man.","1591"
"45","A03858","A declaration of the lordes and sta","1605"
"46","A04024","Informacon for pylgrymes vnto the h","1500"
"47","A04086","The offer and order giuen forth by","1572"
"48","A04361","The theater of Iaponia's constancy","1624"
"49","A04364","True report of the gainefull, prosp","1599"
"50","A04415","A relation of the late iourney of t","1620"
"51","A04494","The golden trade: or, A discouery o","1623"
"52","A04523","[Capystranus","1515"
"53","A04581","Nova Britannia","1609"
"54","A04690","A discovery of the Barmudas, otherw","1610"
"55","A04691","A plaine description of the Barmuda","1613"
"56","A04813","A relation of the second voyage to","1596"
"57","A05051","The description of a voyage made by","1598"
"58","A05059","A briefe description of Hierusalem","1595"
"59","A05331","A geographical historie of Africa,","1600"
"60","A05339","Noua Francia: or The description of","1609"
"61","A05374","Certein letters vvherin is set fort","1576"
"62","A05414","A discourse not altogether vnprofit","1600"
"63","A05576","A direction for trauailers.","1592"
"64","A05594","A most delectable and true discours","1616"
"65","A05597","The totall discourse, of the rare a","1640"
"66","A06332","The lamentatle [sic] death of the E","1621"
"67","A06333","A pleasant commodie, called Looke a","1600"
"68","A06339","A report of the kingdome of Congo,","1597"
"69","A06473","London and the countrey carbonadoed","1632"
"70","A06694","Nevves of Sr. VValter Rauleigh.","1618"
"71","A06776","[C]ertayn and tru good nues, fro[m]","1565"
"72","A06811","[Here endeth the boke of Iohn Maund","1496"
"73","A06812","Here begynneth a lytell treatyse or","1499"
"74","A06813","of delyces where a man shall fynde","1510"
"75","A06814","Than is there an other yle ye men c","1503"
"76","A06817","The voyages and trauailes of Sir Jo","1582"
"77","A06861","Mappa mundi, otherwyse called the c","1550"
"78","A07165","A relation of Maryland","1635"
"79","A07216","A briefe discourse of the Nevv-foun","1620"
"80","A07254","An historicall and true discourse,","1608"
"81","A07302","A brief rehersal {amp} discription, of","1565"
"82","A07400","Certaine briefe, and speciall instr","1589"
"83","A07623","Certeine matters concerning the rea","1603"
"84","A07792","New-England. Or A briefe enarration","1625"
"85","A07831","New English Canaan or New Canaan.","1637"
"86","A07832","New English Canaan, or New Canaan","1637"
"87","A07834","An itinerary vvritten by Fynes Mory","1617"
"88","A07873","A treatyse of the newe India","1553"
"89","A07885","The lamentable destruction of Mulhe","1615"
"90","A07920","Pidax Petreia, or, The disc[ov]erie","1636"
"91","A08052","The iournall, or dayly register, co","1601"
"92","A08067","[A briefe cronicle and perfect rehe","1598"
"93","A08070","Nevves of the Netherlands.","1615"
"94","A08071","A description of the prosperitie, s","1615"
"95","A08076","A True and perfect relation of the","1603"
"96","A08101","Orders and articles granted by the","1621"
"97","A08137","Newes from diuers countries","1597"
"98","A08138","Iune 26. Numb. 37. More nevves; con","1623"
"99","A08139","The Continuation of our weekly newe","1624"
"100","A08140","July 22. Numb. 41. More newes of th","1623"
"101","A08141","A proclamation by the states of the","1623"
"102","A08142","July 29. Numb. 42. More newes of th","1623"
"103","A08143","Numb[er]. 1. An abstract of some sp","1638"
"104","A08144","A relation of the King of Svveden,","1631"
"105","A08146","February 8. Numb. 10. The continuat","1632"
"106","A08147","The Continuation of our weekely int","1631"
"107","A08148","The Norimberg curranto of this week","1639"
"108","A08149","Numb. 86 The curranto this weeke fr","1639"
"109","A08150","Newes from Poland.","1621"
"110","A08151","A continuation of all the principal","1625"
"111","A08152","Newes from the Palatinate.","1622"
"112","A08153","The certaine and true newes, from a","1621"
"113","A08154","Nevves from Turkie and Poland. Or A","1622"
"114","A08155","A true relation of all such battail","1622"
"115","A08156","Three great overthrovves","1622"
"116","A08157","Good nevves from Alsasia and the Pa","1622"
"117","A08158","More nevves from the Palatinate","1622"
"118","A08159","Coppies of letters sent from person","1622"
"119","A08160","A letter sent from Maynhem concerni","1622"
"120","A08161","The true copies of tvvo especiall l","1622"
"121","A08162","The strangling and death of the Gre","1622"
"122","A08163","The relation of all the last passag","1622"
"123","A08164","A tru[e] relati[on] of the pro[cee]","1622"
"124","A08165","The 14. of September. A relation of","1622"
"125","A08166","A true and faithfull relation, pres","1622"
"126","A08167","The fourth of September. Newes from","1622"
"127","A08168","The 4. of Octob: 1622. A true relat","1622"
"128","A08169","Nouemb. 28. Numb. 9. Briefe abstrac","1622"
"129","A08170","A new suruey of the affaires of Eur","1623"
"130","A08210","Sir Francis Drake reuiued","1626"
"131","A08239","The nauigations, peregrinations and","1585"
"132","A08258","The three English brothers.","1607"
"133","A08306","Speculum Britanniae. The first part","1593"
"134","A08307","1598 Speculi Britan[n]i{aelig} pars","1598"
"135","A08332","The description of Swedland, Gotlan","1581"
"136","A08441","The heroicall aduentures of the kni","1600"
"137","A08454","Here begynneth Octauyan the Emperou","1505"
"138","A08479","Newes out of Holland: concerning Ba","1619"
"139","A08536","Theatrum orbis terrarum Abrahami Or","1608"
"140","A08874","An essay of the meanes hovv to make","1606"
"141","A08919","The miserable estate of the citie o","1590"
"142","A09051","A new and large discourse of the tr","1601"
"143","A09178","A briefe description of Ireland: ma","1589"
"144","A09429","A true discourse of the late voyage","1578"
"145","A09478","A true reporte of three straunge an","1603"
"146","A09512","Lamentable newes, shewing the wonde","1613"
"147","A09559","The Spanish pilgrime: or, An admira","1625"
"148","A09829","The most noble and famous trauels o","1579"
"149","A10228","Purchas his pilgrimage. Or Relation","1613"
"150","A10231","Purchas his pilgrimage. Or Relation","1626"
"151","A10354","The discouerie of the large, rich,","1596"
"152","A10439","A new iuterlude [sic] and a mery of","1520"
"153","A10591","True relation vvithout all exceptio","1622"
"154","A10593","Two very lamentable relations","1620"
"155","A10692","The whole and true discouerye of Te","1563"
"156","A10725","Nevves from Virginia.","1610"
"157","A10728","Kynge Rycharde cuer du lyon.","1509"
"158","A10798","Here beginneth the lyf of the moste","1500"
"159","A10859","Nevves from Aleppo.","1628"
"160","A11027","Nevves from Rome, Venice, and Vienn","1595"
"161","A11056","A true relation of the most prosper","1605"
"162","A11082","Arch{aelig}ologi{aelig} Attic{aelig","1637"
"163","A11090","The post of the vvorld.","1576"
"164","A11332","A true report and description of th","1600"
"165","A11529","A true discription and breefe disco","1587"
"166","A11564","Heuy newes of an horryble earth qua","1542"
"167","A11585","The relation of a wonderfull voiage","1619"
"168","A11767","An exact discourse of the subtiltie","1606"
"169","A11831","A true relation of a wonderfull sea","1621"
"170","A11841","A co[m]mendation of the adue[n]teru","1563"
"171","A12119","Sir Antony Sherley his relation of","1613"
"172","A12274","A friend to navigation plainely exp","1628"
"173","A12458","Advertisements for the unexperience","1631"
"174","A12460","A description of New England: or Th","1616"
"175","A12461","The generall historie of Virginia,","1624"
"176","A12466","A map of Virginia.","1612"
"177","A12471","The true travels, adventures, and o","1630"
"178","A12598","The antiquities of Canterbury. Or a","1640"
"179","A12615","Virginia richly valued, by the desc","1609"
"180","A12689","A true relation of that vvhich late","1623"
"181","A12718","England, Wales, Scotland and Irelan","1627"
"182","A13053","The survey of London","1633"
"183","A13152","Articles of enquirie to be ministre","1638"
"184","A13218","A Short survey of the kingdome of S","1632"
"185","A13478","A new discouery by sea, with a vvhe","1623"
"186","A13484","Part of this summers travels, or Ne","1639"
"187","A13485","The pennyles pilgrimage, or The mon","1618"
"188","A13508","Taylor his trauels: from the citty","1620"
"189","A13513","Three vveekes, three daies, and thr","1617"
"190","A13519","A verry merry vvherry-ferry-voyage:","1622"
