index,TCP_Number,Year,cleaned_year
0,A00005,1515,1515
1,A00007,1528,1528
2,A00008,1623,1623
3,A00011,1640,1640
4,A00012,1623,1623
5,A00014,1624,1624
6,A00015,1607,1607
7,A00018,1558,1558
8,A00021,1599,1599
9,A00024,1622,1622
10,A00025,1613,1613
11,A00026,1600,1600
12,A00028,1635,1635
13,A00033,1569,1569
14,A00034,1622,1622
15,A00044,1579,1579
16,A00049,1622,1622
17,A00075,1597,1597
18,A00089,1640,1640
19,A00091,1538,1538
20,A00092,1538,1538
21,A00102,1559,1559
22,A00156,1624,1624
23,A00157,1563,1563
24,A00158,1577,1577
25,A00159,1580,1580
26,A00164,1626,1626
27,A00171,1631,1631
28,A00179,1565,1565
29,A00190,1632,1632
30,A00191,1571,1571
31,A00193,1580,1580
32,A00198,1554,1554
33,A00201,1571,1571
34,A00211,1635,1635
35,A00214,1640,1640
36,A00215,1615,1615
37,A00227,1549,1549
38,A00229,1567,1567
39,A00230,1605,1605
40,A00233,1636,1636
41,A00234,1591,1591
42,A00235,1635,1635
43,A00249,1588,1588
44,A00254,1569,1569
45,A00256,1619,1619
46,A00257,1566,1566
47,A00259,1593,1593
48,A00260,1626,1626
49,A00261,1547,1547
50,A00263,1603,1603
51,A00265,1609,1609
52,A00267,1571,1571
53,A00268,1577,1577
54,A00271,1589,1589
55,A00275,1566,1566
56,A00277,1566,1566
57,A00281,1574,1574
58,A00283,1584,1584
59,A00285,1630,1630
60,A00287,1621,1621
61,A00289,1640,1640
62,A00293,1640,1640
63,A00301,1567,1567
64,A00303,1610,1610
65,A00313,1621,1621
66,A00316,1542,1542
67,A00320,1534,1534
68,A00321,1625,1625
69,A00325,1519,1519
70,A00327,1550,1550
71,A00329,1534,1534
72,A00331,1540,1540
73,A00332,1557,1557
74,A00333,1606,1606
75,A00338,1545,1545
76,A00341,1537,1537
77,A00342,1559,1559
78,A00344,1532,1532
79,A00350,1532,1532
80,A00354,1537,1537
81,A00356,1526,1526
82,A00358,1531,1531
83,A00361,1526,1526
84,A00363,1533,1533
85,A00364,1572,1572
86,A00374,1545,1545
87,A00375,1534,1534
88,A00376,1547,1547
89,A00377,1536,1536
90,A00378,1529,1529
91,A00380,1537,1537
92,A00381,1535,1535
93,A00384,1549,1549
94,A00386,1534,1534
95,A00387,1534,1534
96,A00389,1538,1538
97,A00391,1543,1543
98,A00392,1533,1533
99,A00393,1536,1536
100,A00395,1640,1640
101,A00397,1586,1586
102,A00400,1579,1579
103,A00401,1596,1596
104,A00402,1552,1552
105,A00403,1608,1608
106,A00405,1611,1611
107,A00408,1613,1613
108,A00412,1584,1584
109,A00414,1608,1608
110,A00419,1616,1616
111,A00423,1581,1581
112,A00426,1639,1639
113,A00429,1570,1570
114,A00430,1609,1609
115,A00437,1579,1579
116,A00439,1625,1625
117,A00440,1577,1577
118,A00446,1564,1564
119,A00448,1615,1615
120,A00452,1630,1630
121,A00454,1568,1568
122,A00455,1565,1565
123,A00457,1568,1568
124,A00458,1570,1570
125,A00459,1636,1636
126,A00460,1602,1602
127,A00461,1618,1618
128,A00462,1622,1622
129,A00465,1611,1611
130,A00472,1583,1583
131,A00475,1638,1638
132,A00476,1610,1610
133,A00477,1592,1592
134,A00478,1635,1635
135,A00483,1544,1544
136,A00489,1580,1580
137,A00499,1600,1600
138,A00505,1591,1591
139,A00508,1585,1585
140,A00510,1635,1635
141,A00514,1614,1614
142,A00518,1589,1589
143,A00519,1636,1636
144,A00522,1562,1562
145,A00525,1533,1533
146,A00527,1606,1606
147,A00535,1618,1618
148,A00538,1593,1593
149,A00541,1623,1623
150,A00549,1633,1633
151,A00552,1622,1622
152,A00562,1599,1599
153,A00563,1591,1591
154,A00564,1615,1615
155,A00565,1599,1599
156,A00566,1598,1598
157,A00573,1638,1638
158,A00580,1623,1623
159,A00584,1630,1630
160,A00586,1635,1635
161,A00587,1626,1626
162,A00594,1629,1629
163,A00596,1623,1623
164,A00597,1630,1630
165,A00599,1626,1626
166,A00601,1626,1626
167,A00602,1624,1624
168,A00604,1638,1638
169,A00611,1588,1588
170,A00616,1557,1557
171,A00617,1589,1589
172,A00619,1623,1623
173,A00626,1628,1628
174,A00627,1590,1590
175,A00630,1584,1584
176,A00631,1602,1602
177,A00634,1588,1588
178,A00635,1592,1592
179,A00637,1584,1584
180,A00639,1586,1586
181,A00641,1590,1590
182,A00642,1588,1588
183,A00646,1617,1617
184,A00648,1615,1615
185,A00649,1616,1616
186,A00650,1612,1612
187,A00652,1622,1622
188,A00659,1575,1575
189,A00662,1572,1572
190,A00663,1603,1603
191,A00664,1599,1599
192,A00671,1611,1611
193,A00673,1542,1542
194,A00678,1620,1620
195,A00680,1620,1620
196,A00685,1563,1563
197,A00686,1584,1584
198,A00687,1572,1572
199,A00689,1578,1578
200,A00694,1609,1609
201,A00695,1640,1640
202,A00698,1559,1559
203,A00699,1622,1622
204,A00700,1593,1593
205,A00702,1590,1590
206,A00703,1582,1582
207,A00705,1527,1527
208,A00706,1623,1623
209,A00709,1615,1615
210,A00710,1592,1592
211,A00712,1574,1574
212,A00714,1581,1581
213,A00718,1572,1572
214,A00723,1618,1618
215,A00725,1612,1612
216,A00726,1604,1604
217,A00728,1628,1628
218,A00730,1592,1592
219,A00734,1592,1592
220,A00737,1635,1635
221,A00742,1589,1589
222,A00746,1621,1621
223,A00748,1590,1590
224,A00749,1640,1640
225,A00750,1558,1558
226,A00753,1604,1604
227,A00755,1580,1580
228,A00758,1546,1546
229,A00760,1633,1633
230,A00761,1636,1636
231,A00762,1560,1560
232,A00766,1509,1509
233,A00769,1526,1526
234,A00771,1521,1521
235,A00776,1578,1578
236,A00777,1616,1616
237,A00778,1588,1588
238,A00779,1509,1509
239,A00789,1532,1532
240,A00791,1623,1623
241,A00792,1565,1565
242,A00793,1626,1626
243,A00794,1614,1614
244,A00796,1605,1605
245,A00797,1626,1626
246,A00799,1558,1558
247,A00800,1592,1592
248,A00801,1591,1591
249,A00808,1577,1577
250,A00816,1637,1637
251,A00818,1631,1631
252,A00819,1591,1591
253,A00823,1596,1596
254,A00825,1618,1618
255,A00826,1617,1617
256,A00831,1583,1583
257,A00880,1579,1579
258,A00883,1530,1530
259,A00884,1540,1540
260,A00888,1614,1614
261,A00895,1523,1523
262,A00908,1602,1602
263,A00916,1613,1613
264,A00918,1495,1495
265,A00923,1600,1600
266,A00924,1583,1583
267,A00926,1640,1640
268,A00927,1626,1626
269,A00930,1624,1624
270,A00931,1580,1580
271,A00932,1580,1580
272,A00933,1583,1583
273,A00935,1581,1581
274,A00939,1580,1580
275,A00940,1582,1582
276,A00941,1576,1576
277,A00942,1629,1629
278,A00943,1577,1577
279,A00945,1595,1595
280,A00946,1593,1593
281,A00947,1591,1591
282,A00948,1610,1610
283,A00954,1623,1623
284,A00958,1639,1639
285,A00959,1640,1640
286,A00960,1637,1637
287,A00962,1610,1610
288,A00966,1640,1640
289,A00967,1640,1640
290,A00968,1621,1621
291,A00969,1634,1634
292,A00970,1613,1613
293,A00972,1628,1628
294,A00973,1628,1628
295,A00975,1632,1632
296,A00977,1633,1633
297,A00979,1631,1631
298,A00980,1632,1632
299,A00981,1603,1603
300,A00982,1606,1606
301,A00983,1593,1593
302,A00990,1578,1578
303,A00991,1598,1598
304,A00993,1616,1616
305,A00997,1619,1619
306,A01001,1619,1619
307,A01002,1578,1578
308,A01003,1604,1604
309,A01004,1620,1620
310,A01011,1639,1639
311,A01013,1600,1600
312,A01014,1631,1631
313,A01017,1610,1610
314,A01020,1629,1629
315,A01023,1631,1631
316,A01025,1635,1635
317,A01027,1626,1626
318,A01028,1616,1616
319,A01030,1632,1632
320,A01032,1632,1632
321,A01033,1616,1616
322,A01038,1638,1638
323,A01039,1638,1638
324,A01041,1614,1614
325,A01042,1627,1627
326,A01043,1625,1625
327,A01044,1633,1633
